MeetingPlaceRef,CaseRef,MeetingPlace_Place,Inversion,Location
MP/LA/633,C/EGD/347,,0,Prestonpans
MP/LA/634,C/EGD/353,Kirk,0,the Old Kirk
MP/LA/635,C/EGD/344,Windmill,0,of the pans
MP/LA/636,C/EGD/349,Green,0,Bragreen between Seaton and Tranent
MP/LA/637,C/EGD/343,Green,0,Bragreen between Seaton and Tranent
MP/LA/638,C/EGD/273,Hilltop,0,
MP/LA/639,C/EGD/273,Kirk,0,Irvine
MP/LA/640,C/EGD/1474,Kirk,0,Nairn
MP/LA/641,C/EGD/1474,,0,Darnvay
MP/LA/642,C/EGD/1558,Kirk,0,The Kirk of Auldearn
MP/LA/643,C/EGD/1558,Kirk,0,Kirk of Nairn
MP/LA/644,C/EGD/1558,Hilltop,0,Hill of Earlfeat
MP/LA/645,C/EGD/1558,Dye-House,0,Auldearn
MP/LA/65,C/EGD/1605,House,0,Her house
MP/LA/66,C/EGD/372,Bank Head,0,Wolmet Bank
MP/LA/661,C/EGD/1224,Hilltop,0,Coldinghame Law
MP/LA/662,C/EGD/1224,House,0,Bessie Sleigh's
MP/LA/663,C/EGD/1224,Hilltop,0,Borthwick Hill
MP/LA/664,C/EGD/1224,Hilltop,0,Duns Law
MP/LA/665,C/EGD/1225,Hilltop,0,Coldingham Law
MP/LA/666,C/EGD/1225,Hilltop,0,Duns Law
MP/LA/667,C/EGD/1225,Hilltop,0,Borthwick Hill
MP/LA/668,C/EGD/1226,Hilltop,0,Duns Law
MP/LA/669,C/EGD/1226,Hilltop,0,Borthwick Hills
MP/LA/67,C/EGD/372,Moor,0,Burrow Mure
MP/LA/68,C/EGD/371,Road,0,between Sheriffhall burn and Dalkeith
MP/LA/69,C/EGD/374,Yard,0,Sheriffhall
MP/LA/7,C/EGD/162,House,0,suspect's in Nyddrie Myln
MP/LA/70,C/EGD/374,House,0,"fellow accused witch's, at 11pm"
MP/LA/71,C/EGD/373,Bank Head,0,Wolmet bank
MP/LA/72,C/EGD/370,Bank Head,0,Wolmet Bank
MP/LA/73,C/EGD/370,Yard,0,Sheriffhall
MP/LA/78,C/EGD/1390,Yard,0,Sheriffhall
MP/LA/79,C/EGD/1390,House,0,her house
MP/LA/8,C/EGD/162,Salt pans,0,Salt Coitmure
MP/LA/9,C/EGD/166,House,0,Oswald's in Nyddrie Mylne
MP/LA/96,C/EGD/380,House,0,her own house
MP/LA/97,C/EGD/380,Dam,0,Newtown Deimhead
MP/LA/98,C/EGD/380,Road,0,on the way to the Mill
MP/LA/99,C/EGD/365,Dam,0,Newtown Deinhead
